DATE,SUBSCRIBERS_GAINED,SUBSCRIBERS_LOST,VIEWS,WATCH_HOURS,LIKES,SHARES,COMMENTS,TOTAL_SUBSCRIBERS
2019-12-09,13,2,562,69,30,7,2,609
2019-12-10,16,2,583,64,29,6,3,623
2019-12-11,12,3,540,59,29,6,3,632
2019-12-12,13,3,655,56,27,6,3,642
2019-12-13,13,2,524,61,29,7,3,653
2019-12-14,11,3,945,85,36,6,3,661
2019-12-15,15,3,1020,96,43,6,3,673
2019-12-16,14,3,644,61,31,6,3,684
2019-12-17,14,3,610,55,34,6,3,695
2019-12-18,12,3,597,74,32,6,3,704
2019-12-19,16,3,703,63,35,6,3,717
2019-12-20,12,3,553,58,37,6,3,726
2019-12-21,15,3,883,99,54,7,3,738
2019-12-22,17,3,950,102,52,7,3,752
2019-12-23,13,2,750,56,34,6,2,763
2019-12-24,13,3,700,71,30,5,3,773
2019-12-25,14,3,615,62,37,6,3,784
2019-12-26,14,3,668,82,40,7,3,795
2019-12-27,12,3,654,74,36,8,3,804
2019-12-28,15,3,983,102,63,6,3,816
2019-12-29,13,3,1174,99,45,6,3,826
2019-12-30,15,3,621,71,31,6,3,838
2019-12-31,13,3,846,77,39,8,3,848
2020-01-01,17,3,798,73,37,7,4,862
2020-01-02,14,3,825,72,41,6,3,873
2020-01-03,15,4,717,75,36,7,3,884
2020-01-04,17,3,1124,105,49,7,4,898
2020-01-05,13,3,988,109,54,6,4,908
2020-01-06,16,4,736,60,31,6,4,920
2020-01-07,18,3,823,84,33,8,3,935
2020-01-08,13,3,896,79,42,7,3,945
2020-01-09,16,3,713,72,41,7,4,958
2020-01-10,16,3,780,93,40,7,4,971
2020-01-11,17,3,1208,118,48,8,4,985
2020-01-12,14,3,1066,106,55,8,4,996
2020-01-13,14,3,883,87,34,8,3,1007
2020-01-14,17,3,782,83,44,8,4,1021
2020-01-15,17,3,833,84,37,8,3,1035
2020-01-16,17,4,820,78,36,8,4,1048
2020-01-17,17,4,799,86,40,7,3,1061
2020-01-18,16,3,1313,120,57,7,3,1074
2020-01-19,17,4,1298,132,70,6,3,1087
2020-01-20,18,4,859,67,38,9,3,1101
2020-01-21,16,3,835,80,35,9,3,1114
2020-01-22,21,3,939,99,33,7,3,1132
2020-01-23,18,3,1070,79,42,8,3,1147
2020-01-24,15,3,940,80,40,7,3,1159
2020-01-25,19,4,1544,123,54,9,5,1174
2020-01-26,16,4,1218,114,72,7,4,1186
2020-01-27,19,4,968,68,46,8,4,1201
2020-01-28,20,3,856,86,43,8,4,1218
2020-01-29,16,4,827,90,49,9,5,1230
2020-01-30,20,3,906,88,47,8,3,1247
2020-01-31,19,4,1105,88,40,7,3,1262
2020-02-01,20,4,1636,135,60,8,4,1278
2020-02-02,22,5,1542,150,72,8,4,1295
2020-02-03,18,3,857,89,47,9,4,1310
2020-02-04,17,3,1001,86,46,10,4,1324
2020-02-05,17,4,1061,89,41,7,4,1337
2020-02-06,17,5,1057,98,48,8,4,1349
2020-02-07,19,5,854,106,42,8,4,1363
2020-02-08,20,4,1443,132,69,8,3,1379
2020-02-09,20,4,1587,142,79,10,4,1395
2020-02-10,21,5,1131,98,44,9,4,1411
2020-02-11,19,4,843,86,39,9,4,1426
2020-02-12,22,5,1073,96,42,8,4,1443
2020-02-13,19,5,1114,82,52,9,4,1457
2020-02-14,25,5,1202,80,49,10,4,1477
2020-02-15,21,6,1790,151,70,8,4,1492
2020-02-16,18,5,1785,141,69,10,4,1505
2020-02-17,18,4,1042,101,51,9,4,1519
2020-02-18,21,4,924,99,45,10,4,1536
2020-02-19,20,4,1105,90,51,9,4,1552
2020-02-20,22,4,1274,100,46,10,4,1570
2020-02-21,21,4,1330,88,45,9,5,1587
2020-02-22,20,4,1888,172,70,9,5,1603
2020-02-23,19,5,1851,132,72,10,5,1617
2020-02-24,18,4,1238,100,50,10,4,1631
2020-02-25,20,5,1134,92,52,8,5,1646
2020-02-26,23,5,1193,109,32,11,5,1664
2020-02-27,22,5,1420,100,47,8,5,1681
2020-02-28,19,5,1109,99,50,9,6,1695
2020-02-29,22,5,2149,171,90,10,5,1712
2020-03-01,22,5,1803,159,69,10,5,1729
2020-03-02,20,4,1416,112,53,12,5,1745
2020-03-03,22,4,1081,96,61,8,5,1763
2020-03-04,22,5,1340,92,46,10,4,1780
2020-03-05,19,4,1180,109,55,8,5,1795
2020-03-06,23,4,1100,105,49,10,5,1814
2020-03-07,23,5,1977,174,76,11,5,1832
2020-03-08,25,5,2145,162,75,12,5,1852
2020-03-09,25,5,1196,112,50,11,6,1872
2020-03-10,19,5,1116,92,69,12,4,1886
2020-03-11,20,5,1310,132,59,11,4,1901
2020-03-12,24,5,1318,110,61,10,5,1920
2020-03-13,24,5,1411,120,58,9,5,1939
2020-03-14,24,5,2210,154,70,11,7,1958
2020-03-15,32,5,2017,175,87,9,5,1985
2020-03-16,24,5,1613,99,62,12,5,2004
2020-03-17,26,4,1398,119,52,11,5,2026
2020-03-18,26,5,1327,111,62,12,5,2047
2020-03-19,25,6,1160,116,61,10,5,2066
2020-03-20,23,6,1353,124,68,11,5,2083
2020-03-21,25,6,2025,153,82,11,5,2102
2020-03-22,22,6,2308,163,76,11,5,2118
2020-03-23,23,5,1476,123,56,11,6,2136
2020-03-24,23,5,1250,143,67,12,6,2154
2020-03-25,24,5,1450,117,48,10,6,2173
2020-03-26,30,5,1528,126,47,10,5,2198
2020-03-27,20,6,1659,118,60,13,6,2212
2020-03-28,26,6,2362,216,85,12,6,2232
2020-03-29,20,5,2344,148,90,12,6,2247
2020-03-30,23,5,1468,122,66,14,6,2265
2020-03-31,27,6,1522,102,57,11,6,2286
2020-04-01,25,6,1657,92,49,13,6,2305
2020-04-02,22,5,1281,126,73,12,6,2322
2020-04-03,23,4,1433,125,55,11,5,2341
2020-04-04,27,5,2064,180,82,14,6,2363
2020-04-05,23,5,2331,184,102,13,7,2381
2020-04-06,26,5,1689,164,59,12,5,2402
2020-04-07,26,6,1419,122,62,13,5,2422
2020-04-08,24,5,1153,133,65,12,6,2441
2020-04-09,31,7,1459,118,69,13,6,2465
2020-04-10,27,6,1667,131,61,9,6,2486
2020-04-11,20,6,2424,187,109,11,6,2500
2020-04-12,26,6,2408,184,75,14,7,2520
2020-04-13,24,5,1502,152,69,12,5,2539
2020-04-14,28,7,1351,145,59,13,7,2560
2020-04-15,24,6,1636,132,73,11,5,2578
2020-04-16,26,6,1431,100,65,15,5,2598
2020-04-17,28,5,1908,126,60,14,6,2621
2020-04-18,29,5,2491,250,103,12,6,2645
2020-04-19,23,7,2227,193,106,12,5,2661
2020-04-20,26,6,1484,147,70,14,5,2681
2020-04-21,26,6,1572,152,59,15,6,2701
2020-04-22,25,6,1553,137,63,14,7,2720
2020-04-23,32,7,1774,123,66,16,7,2745
2020-04-24,28,5,1630,102,66,12,6,2768
2020-04-25,24,7,2231,216,108,12,7,2785
2020-04-26,30,6,2872,187,81,11,6,2809
2020-04-27,34,7,1622,139,70,14,5,2836
2020-04-28,31,6,1742,120,66,13,5,2861
2020-04-29,23,7,1523,134,62,13,6,2877
2020-04-30,26,6,1686,138,63,14,6,2897
2020-05-01,32,6,1681,142,67,15,7,2923
2020-05-02,26,6,1989,184,66,11,7,2943
2020-05-03,29,6,2954,234,96,13,7,2966
2020-05-04,31,7,1854,132,63,15,6,2990
2020-05-05,26,6,1580,117,73,13,6,3010
2020-05-06,28,6,1468,140,64,12,7,3032
2020-05-07,19,6,1711,142,69,15,7,3045
2020-05-08,26,5,1671,145,81,12,5,3066
2020-05-09,28,6,2578,243,117,13,6,3088
2020-05-10,25,8,2542,210,115,14,6,3105
2020-05-11,34,7,1750,142,68,13,7,3132
2020-05-12,25,7,1911,128,75,15,6,3150
2020-05-13,28,7,1767,157,70,13,7,3171
2020-05-14,30,7,1499,148,71,16,7,3194
2020-05-15,34,7,1906,140,75,14,7,3221
2020-05-16,25,6,2934,178,102,15,6,3240
2020-05-17,33,8,3320,252,126,15,6,3265
2020-05-18,30,7,1496,129,72,13,6,3288
2020-05-19,27,7,1729,139,78,11,7,3308
2020-05-20,31,7,1338,154,84,15,7,3332
2020-05-21,31,7,1787,131,82,14,6,3356
2020-05-22,28,7,1602,127,64,15,8,3377
2020-05-23,31,7,3036,177,117,14,7,3401
2020-05-24,29,7,2351,243,121,14,8,3423
2020-05-25,31,7,1413,143,82,18,7,3447
2020-05-26,33,7,1622,197,67,12,6,3473
2020-05-27,36,8,1367,137,71,16,7,3501
2020-05-28,27,6,1834,139,83,14,7,3522
2020-05-29,38,6,1355,145,70,14,7,3554
2020-05-30,25,7,2571,237,111,14,7,3572
2020-05-31,31,7,2032,220,133,14,7,3596
2020-06-01,33,7,1656,165,77,16,7,3622
2020-06-02,32,7,1994,140,72,17,7,3647
2020-06-03,30,7,1775,135,71,16,8,3670
2020-06-04,31,8,1566,128,80,15,7,3693
2020-06-05,30,6,1711,122,68,14,8,3717
2020-06-06,30,7,2581,225,114,16,7,3740
2020-06-07,35,7,2698,231,121,19,7,3768
2020-06-08,33,6,1484,149,89,15,7,3795
2020-06-09,30,7,1821,179,84,15,7,3818
2020-06-10,35,9,1254,180,74,15,5,3844
2020-06-11,33,8,1612,155,89,15,7,3869
2020-06-12,35,8,8185,132,385,55,35,3896
2020-06-13,35,7,2746,228,105,16,8,3924
2020-06-14,30,7,2590,228,118,14,7,3947
2020-06-15,31,7,1480,152,92,13,8,3971
2020-06-16,35,7,1553,152,82,17,6,3999
2020-06-17,35,9,1757,153,81,14,8,4025
2020-06-18,33,8,1710,158,95,15,6,4050
2020-06-19,34,7,1623,154,70,18,7,4077
2020-06-20,38,8,2461,253,106,14,8,4107
2020-06-21,31,8,2765,258,103,14,9,4130
2020-06-22,35,9,1634,151,86,17,8,4156
2020-06-23,33,9,1708,188,84,18,8,4180
2020-06-24,33,7,2097,151,96,14,8,4206
2020-06-25,38,7,1477,141,85,17,7,4237
2020-06-26,37,7,1403,175,80,17,7,4267
2020-06-27,37,8,2785,232,126,13,8,4296
2020-06-28,39,8,2407,262,127,18,7,4327
2020-06-29,34,9,1666,129,70,18,8,4352
2020-06-30,37,8,1586,195,108,16,8,4381
2020-07-01,33,8,1675,183,89,19,9,4406
2020-07-02,36,8,1995,146,87,19,9,4434
2020-07-03,34,7,1857,147,91,17,7,4461
2020-07-04,35,10,2800,303,138,16,8,4486
2020-07-05,37,7,2212,241,127,15,7,4516
2020-07-06,32,8,1520,159,81,17,7,4540
2020-07-07,43,10,1229,135,92,18,7,4573
2020-07-08,32,8,1576,169,90,16,10,4597
2020-07-09,31,8,1879,172,80,13,9,4620
2020-07-10,40,8,1802,189,100,19,10,4652
2020-07-11,38,8,2513,228,135,17,9,4682
2020-07-12,38,10,12819,225,705,85,40,4710
2020-07-13,38,6,1593,186,101,19,8,4742
2020-07-14,36,10,1746,196,89,20,9,4768
2020-07-15,33,7,1841,151,92,12,9,4794
2020-07-16,36,8,1433,199,96,18,8,4822
2020-07-17,34,8,1760,181,83,15,7,4848
2020-07-18,40,9,2800,300,135,18,11,4879
2020-07-19,36,7,2453,270,136,18,8,4908
2020-07-20,34,9,1826,136,81,19,8,4933
2020-07-21,35,10,2184,179,111,17,9,4958
2020-07-22,38,7,1686,202,78,14,8,4989
2020-07-23,35,9,1769,167,79,17,9,5015
2020-07-24,34,8,1577,177,103,19,10,5041
2020-07-25,38,9,2598,271,147,20,9,5070
2020-07-26,38,9,2669,196,123,16,8,5099
2020-07-27,35,8,1733,216,98,20,9,5126
2020-07-28,36,9,1525,169,106,17,8,5153
2020-07-29,38,10,1733,196,92,19,10,5181
2020-07-30,32,9,1945,185,117,17,10,5204
2020-07-31,32,10,1772,211,77,19,9,5226
2020-08-01,35,8,2788,294,150,20,8,5253
2020-08-02,37,8,2481,276,157,16,8,5282
2020-08-03,39,9,1821,172,102,17,9,5312
2020-08-04,44,10,1740,205,92,19,9,5346
2020-08-05,42,9,1531,154,92,23,9,5379
2020-08-06,38,9,1745,203,99,17,9,5408
2020-08-07,38,9,1523,170,103,22,8,5437
2020-08-08,35,8,2376,324,151,22,9,5464
2020-08-09,39,10,2583,292,157,19,7,5493
2020-08-10,38,10,1740,205,86,18,8,5521
2020-08-11,40,9,1488,195,94,17,9,5552
2020-08-12,36,9,1867,160,87,19,10,5579
2020-08-13,41,9,1785,178,93,16,8,5611
2020-08-14,45,9,1569,208,107,19,9,5647
2020-08-15,39,9,2143,298,147,22,9,5677
2020-08-16,41,11,2495,328,184,18,11,5707
2020-08-17,42,9,1612,205,100,19,11,5740
2020-08-18,38,9,1707,178,99,16,9,5769
2020-08-19,41,9,1626,182,99,20,9,5801
2020-08-20,40,10,1348,200,92,20,9,5831
2020-08-21,40,9,1622,153,98,19,9,5862
2020-08-22,37,9,2455,349,165,19,9,5890
2020-08-23,40,11,2692,313,150,19,10,5919
2020-08-24,42,11,1570,225,92,21,10,5950
2020-08-25,46,9,1972,169,91,20,10,5987
2020-08-26,44,8,1366,227,96,20,11,6023
2020-08-27,50,11,1911,247,101,20,11,6062
2020-08-28,38,9,1653,176,113,22,10,6091
2020-08-29,44,10,2755,328,130,21,11,6125
2020-08-30,42,8,2558,306,147,20,9,6159
2020-08-31,50,11,1886,173,103,23,11,6198
2020-09-01,38,8,1628,215,83,21,11,6228
2020-09-02,38,10,1508,222,93,23,11,6256
2020-09-03,39,10,1937,193,95,21,10,6285
2020-09-04,33,9,1677,230,94,16,9,6309
2020-09-05,39,9,2604,258,157,23,8,6339
2020-09-06,39,11,2864,264,151,20,10,6367
2020-09-07,42,10,1526,211,98,20,11,6399
2020-09-08,43,11,1804,209,108,21,10,6431
2020-09-09,50,12,1604,194,122,20,11,6469
2020-09-10,46,8,1683,227,121,21,11,6507
2020-09-11,40,12,1721,221,84,19,10,6535
2020-09-12,39,10,2180,343,166,23,11,6564
2020-09-13,45,9,2368,313,154,20,7,6600
2020-09-14,37,9,1946,225,107,20,9,6628
2020-09-15,51,10,1869,203,101,19,9,6669
2020-09-16,48,11,1708,257,107,21,9,6706
2020-09-17,41,10,1764,196,108,21,11,6737
2020-09-18,36,12,1673,259,100,22,10,6761
2020-09-19,49,9,2942,322,145,19,11,6801
2020-09-20,43,10,2544,277,153,18,11,6834
2020-09-21,49,9,1774,245,110,22,9,6874
2020-09-22,36,11,1935,219,114,24,9,6899
2020-09-23,41,11,1604,235,117,19,11,6929
2020-09-24,44,10,2015,244,103,25,10,6963
2020-09-25,44,8,1479,225,111,22,9,6999
2020-09-26,42,11,3054,307,178,21,11,7030
2020-09-27,47,11,2533,360,181,20,12,7066
2020-09-28,39,11,1715,219,108,18,12,7094
2020-09-29,44,12,1428,235,107,24,11,7126
2020-09-30,45,9,8432,173,560,100,55,7162
2020-10-01,47,11,1586,231,97,20,12,7198
2020-10-02,48,12,1667,207,108,24,10,7234
2020-10-03,40,9,2633,388,178,17,12,7265
2020-10-04,38,11,2932,354,177,18,11,7292
2020-10-05,51,10,1826,228,108,22,12,7333
2020-10-06,46,11,1849,234,114,22,11,7368
2020-10-07,42,11,1602,202,102,23,12,7399
2020-10-08,52,10,1645,261,120,21,11,7441
2020-10-09,46,10,2134,270,111,28,9,7477
2020-10-10,51,11,2523,352,163,22,12,7517
2020-10-11,46,10,3183,393,162,22,10,7553
2020-10-12,55,10,1781,214,112,20,12,7598
2020-10-13,54,12,1833,209,108,22,11,7640
2020-10-14,45,10,2035,229,121,24,12,7675
2020-10-15,50,12,2079,238,109,25,12,7713
2020-10-16,49,11,1830,220,132,19,11,7751
2020-10-17,52,9,2677,363,196,22,12,7794
2020-10-18,42,10,2780,355,156,24,11,7826
2020-10-19,50,12,1933,208,115,24,9,7864
2020-10-20,51,10,2045,243,107,23,11,7905
2020-10-21,38,11,1885,252,111,24,10,7932
2020-10-22,41,12,2009,236,139,21,11,7961
2020-10-23,37,12,2210,260,112,26,10,7986
2020-10-24,46,11,2968,307,180,25,10,8021
2020-10-25,50,10,2961,367,184,20,13,8061
2020-10-26,54,13,1629,207,105,20,12,8102
2020-10-27,48,13,1422,209,107,21,11,8137
2020-10-28,55,12,2012,221,103,25,11,8180
2020-10-29,41,11,1927,214,107,20,11,8210
2020-10-30,39,10,1854,224,84,22,12,8239
2020-10-31,47,10,3016,348,186,24,11,8276
2020-11-01,50,12,2939,387,214,23,13,8314
2020-11-02,48,12,2203,230,120,24,11,8350
2020-11-03,38,13,2006,201,102,21,11,8375
2020-11-04,48,12,1848,267,111,25,11,8411
2020-11-05,42,10,2206,220,114,22,11,8443
2020-11-06,52,13,1972,239,107,23,12,8482
2020-11-07,50,10,3199,378,195,24,11,8522
2020-11-08,44,11,2908,369,195,24,12,8555
2020-11-09,46,12,1912,268,106,24,13,8589
2020-11-10,43,14,2072,254,129,22,11,8618
2020-11-11,48,15,2067,222,139,23,11,8651
2020-11-12,54,12,2174,297,144,24,12,8693
2020-11-13,44,11,2029,249,156,21,11,8726
2020-11-14,52,12,2565,361,166,23,12,8766
2020-11-15,47,13,3023,403,235,25,12,8800
2020-11-16,45,11,2285,252,118,21,13,8834
2020-11-17,49,14,2064,256,115,27,11,8869
2020-11-18,44,12,2085,308,127,27,11,8901
2020-11-19,47,12,2361,240,116,21,11,8936
2020-11-20,44,13,2006,240,128,28,11,8967
2020-11-21,60,12,2754,376,160,24,13,9015
2020-11-22,50,13,3221,414,181,25,10,9052
2020-11-23,47,11,2088,212,140,23,15,9088
2020-11-24,51,11,1992,201,124,27,14,9128
2020-11-25,50,11,2179,236,126,26,12,9167
2020-11-26,49,13,2339,210,131,23,13,9203
2020-11-27,54,13,2239,241,140,22,10,9244
2020-11-28,54,13,3484,397,157,21,15,9285
2020-11-29,48,14,4015,345,199,25,11,9319
2020-11-30,48,12,2200,217,123,26,12,9355
2020-12-01,50,13,2354,256,128,27,10,9392
2020-12-02,39,11,2186,276,140,25,13,9420
2020-12-03,43,12,2120,212,112,22,11,9451
2020-12-04,58,13,2193,276,114,23,12,9496
2020-12-05,60,13,3344,415,154,28,12,9543
2020-12-06,50,12,3658,421,181,24,11,9581
2020-12-07,55,12,2923,288,145,26,11,9624
2020-12-08,53,10,2210,314,127,22,13,9667
2020-12-09,68,12,2293,249,111,26,11,9723
2020-12-10,58,14,2391,261,122,24,11,9767
2020-12-11,51,13,2516,248,110,28,13,9805
2020-12-12,47,13,3747,390,172,27,16,9839
2020-12-13,44,13,4142,450,202,24,13,9870
2020-12-14,53,13,1863,226,114,25,11,9910
2020-12-15,48,12,1884,239,145,24,12,9946
2020-12-16,45,13,2365,298,129,22,13,9978
2020-12-17,49,13,2777,289,132,23,12,10014
2020-12-18,47,13,2122,253,127,26,14,10048
2020-12-19,62,12,2653,429,211,27,13,10098
2020-12-20,58,10,4034,409,213,26,14,10146
2020-12-21,53,14,2621,304,136,25,12,10185
2020-12-22,61,12,2292,267,139,28,14,10234
2020-12-23,54,12,2332,293,129,26,13,10276
2020-12-24,49,14,2349,337,140,28,12,10311
2020-12-25,62,12,2645,283,128,21,16,10361
2020-12-26,57,14,3698,403,199,16,10,10404
2020-12-27,48,14,4164,430,195,27,12,10438
2020-12-28,53,14,1900,258,127,22,12,10477
2020-12-29,49,11,2445,333,125,26,16,10515
2020-12-30,47,15,2385,274,140,26,15,10547
2020-12-31,59,13,2634,263,152,31,15,10593
2021-01-01,65,13,2563,248,150,28,13,10645
2021-01-02,47,13,4411,451,177,27,16,10679
2021-01-03,58,11,3343,442,229,29,14,10726
2021-01-04,51,14,2766,259,131,28,14,10763
2021-01-05,52,12,2922,288,144,25,13,10803
2021-01-06,52,11,3299,232,124,30,13,10844
2021-01-07,50,11,2662,279,138,24,13,10883
2021-01-08,55,15,2904,287,141,28,13,10923
2021-01-09,51,12,3476,483,174,23,14,10962
2021-01-10,57,15,3244,381,217,28,14,11004
2021-01-11,55,13,3098,241,156,28,13,11046
2021-01-12,54,11,2871,252,135,32,15,11089
2021-01-13,50,12,3228,240,157,23,9,11127
2021-01-14,52,15,2503,315,135,26,14,11164
2021-01-15,60,13,3068,321,150,30,14,11211
2021-01-16,59,13,5220,430,162,28,15,11257
2021-01-17,50,14,4607,469,259,28,13,11293
2021-01-18,57,14,3044,283,160,25,14,11336
2021-01-19,60,15,2979,277,135,26,15,11381
2021-01-20,47,16,2522,271,112,31,16,11412
2021-01-21,60,13,3414,272,144,27,13,11459
2021-01-22,53,12,2837,238,120,29,14,11500
2021-01-23,60,13,4784,435,220,27,16,11547
2021-01-24,52,14,3861,423,220,24,11,11585
2021-01-25,46,12,2705,305,128,30,13,11619
2021-01-26,48,12,3523,287,157,29,16,11655
2021-01-27,57,14,2988,280,153,34,15,11698
2021-01-28,59,14,3562,260,156,25,14,11743
2021-01-29,52,14,3101,288,142,30,13,11781
2021-01-30,61,13,3841,460,183,24,13,11829
2021-01-31,48,13,5153,381,235,29,13,11864
2021-02-01,57,13,2981,290,139,31,16,11908
2021-02-02,51,15,3405,294,123,22,13,11944
2021-02-03,54,15,3205,268,163,28,14,11983
2021-02-04,58,11,2716,272,174,27,13,12030
2021-02-05,53,13,3278,296,143,26,15,12070
2021-02-06,56,12,5928,385,264,30,13,12114
2021-02-07,64,13,5122,451,219,32,14,12165
2021-02-08,55,14,3249,265,139,28,12,12206
2021-02-09,63,12,3635,323,136,29,12,12257
2021-02-10,52,13,3365,360,169,29,14,12296
2021-02-11,62,13,3379,267,134,29,12,12345
2021-02-12,67,14,2961,309,157,26,17,12398
2021-02-13,44,14,5124,408,207,32,11,12428
2021-02-14,54,13,5546,487,210,30,13,12469
2021-02-15,63,14,3083,257,162,30,14,12518
2021-02-16,58,13,19293,309,705,135,70,12563
2021-02-17,62,14,3359,270,141,28,13,12611
2021-02-18,56,17,3101,290,164,29,13,12650
2021-02-19,60,16,3758,266,172,25,13,12694
2021-02-20,59,12,4997,483,237,24,14,12741
2021-02-21,67,16,5557,409,208,27,17,12792
2021-02-22,61,16,3354,315,141,31,15,12837
2021-02-23,62,13,3447,289,150,27,16,12886
2021-02-24,58,16,3652,296,154,26,15,12928
2021-02-25,57,17,3595,305,135,27,16,12968
2021-02-26,58,13,2805,278,161,28,10,13013
2021-02-27,63,13,4684,462,226,29,14,13063
2021-02-28,58,16,5785,522,186,36,17,13105
2021-03-01,62,15,3494,279,136,33,14,13152
2021-03-02,73,15,3367,338,143,33,17,13210
2021-03-03,66,15,3080,349,150,33,17,13261
2021-03-04,59,15,3190,279,180,27,14,13305
2021-03-05,68,13,2862,260,155,26,14,13360
